Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
RRAD	RRAD	7.091551594839985E-6	2.268173540975107E-5	1.016549898971295E0	0.0236810339052783E0	1.016549898971295E0	1.031963503593312E0	1.015162664063629E0	0.03283857819937798E0	0.02086573357198818E0
FAM156A	FAM156A	7.067738019173062E-6	2.260914990675602E-5	0.9871091720673222E0	-0.0187184425358579E0	-1.013059171464976E0	1.098825899879522E0	1.113175655716205E0	0.09684006582546183E0	0.1203836260013795E0
TMEM117	TMEM117	7.054706263609488E-6	2.257103708417304E-5	0.9650063180709442E0	-0.05138970689029181E0	-1.036262645408383E0	1.266704447313864E0	1.312638501524028E0	0.191867755812307E0	0.2291301239034448E0
XRCC1	XRCC1	7.051131548307933E-6	2.25631741148168E-5	0.9921995111900721E0	-0.01129784840443559E0	-1.007861814808366E0	1.118403843409009E0	1.127196527306855E0	0.1267757641504806E0	0.1473889834224071E0
GPR52	.	7.037696496126063E-6	2.252375120088009E-5	0.9907728315572524E0	-0.01337378657258431E0	-1.00931310200366E0	1.048332453668861E0	1.058095680743626E0	0.05669087879708581E0	0.075132052535889E0
DNAJC17	DNAJC17	7.010759617176441E-6	2.244109710740567E-5	0.9928404835907174E0	-0.01036615157381447E0	-1.007211144718222E0	1.113844858359325E0	1.121876954826602E0	0.116376199516269E0	0.1356978590908281E0
TNFSF12	TNFSF12	6.992710841480236E-6	2.238687170331555E-5	0.9985493817452098E0	-0.002094319158732106E0	-1.001452725605072E0	1.019531489767427E0	1.021012589267789E0	0.02325212597272756E0	0.03103098584512044E0
TMEM39A	TMEM39A	6.987431893867875E-6	2.237351765890034E-5	0.9996773296143066E0	-4.655900853881516E-4	-1.000322774535477E0	1.107191920276149E0	1.1075492936339E0	0.1102658558352727E0	0.1233836730082237E0
LOC711376	.	6.985019985861227E-6	2.236934099800619E-5	0.9854273078506157E0	-0.02117864317355704E0	-1.014788195976799E0	1.054362514023504E0	1.069954633511474E0	0.05951208640289915E0	0.08269187809961079E0
LOC106992627	.	6.957168372290212E-6	2.228368011156323E-5	0.99489004857604E0	-0.00739100153173055E0	-1.005136197141859E0	1.026543848297576E0	1.031816379877194E0	0.02480252024751967E0	0.03649912204004589E0
TTI2	.	6.954494051636386E-6	2.227864724107085E-5	1.005559904261926E0	0.007999029934960164E0	1.005559904261926E0	1.042162947880003E0	1.036400659436538E0	0.04371589908107579E0	0.04554760718923433E0
NEURL4	NEURL4	6.895647908677904E-6	2.209363839775957E-5	0.9957557659443084E0	-0.006136166318312306E0	-1.004262324357888E0	1.086364026917121E0	1.090994462770583E0	0.09612685551061789E0	0.1126624345804612E0
PER2	PER2	6.869801778774947E-6	2.20143195823729E-5	0.9969529921316478E0	-0.004402613952347855E0	-1.003056320500967E0	1.143439346844177E0	1.146934063961549E0	0.1414773480204313E0	0.1583860816545126E0
PIGM	PIGM	6.868392445902303E-6	2.201329587786968E-5	0.9994133135193055E0	-8.466580619660728E-4	-1.000587030883778E0	1.039752732625921E0	1.040363099591465E0	0.0455416029275316E0	0.05388404447841773E0
ELP1	ELP1	6.840740309099744E-6	2.192814993861238E-5	1.006563309379949E0	0.009437915683067663E0	1.006563309379949E0	1.237081248314482E0	1.229014843662972E0	0.2154502870888166E0	0.2259933831934302E0
RNF24	RNF24	6.795084206312485E-6	2.178525568239676E-5	0.9770270014042842E0	-0.03352966140018092E0	-1.023513166537564E0	1.200876343240353E0	1.229112748689984E0	0.1746587129753169E0	0.2078189699447057E0
REXO2	REXO2	6.765567899469374E-6	2.169406896864302E-5	0.9931527315017681E0	-0.009912495928780799E0	-1.006894476832257E0	1.083992089111115E0	1.091465647455841E0	0.09347991239053335E0	0.1114127719043708E0
NFE2L1	NFE2L1	6.741373485219546E-6	2.161992087241416E-5	0.9978594773696173E0	-0.003091431204625104E0	-1.002145114296078E0	1.161681983992722E0	1.164173924624081E0	0.1643679931533374E0	0.1810017324470288E0
LOC114677365	.	6.704698712334263E-6	2.150571773729195E-5	0.9999005132604681E0	-1.435361658477967E-4	-1.000099496638128E0	1.000325297409246E0	1.000424826413373E0	0.001007674568407767E0	0.0018138910468165E0
DTX2	DTX2	6.654724437282768E-6	2.135217827796698E-5	0.9930808451121684E0	-0.01001692487313981E0	-1.006967363152645E0	1.110622013692992E0	1.118360120587712E0	0.1165827477104192E0	0.1358450805999305E0
LOC107000418	.	6.655773563624128E-6	2.135217827796698E-5	0.9973652238051502E0	-0.003806194990943448E0	-1.002641736579502E0	1.060209601457464E0	1.063010395943574E0	0.07085421125281688E0	0.08341312493268E0
MTHFD2	MTHFD2	6.582268886834424E-6	2.112308023137618E-5	0.9968247563818875E0	-0.004588196403187105E0	-1.003185357905473E0	1.031283529595002E0	1.034568536738782E0	0.0386428698502528E0	0.0501957040266687E0
LOC106997202	.	6.531792697161965E-6	2.096442855510525E-5	1.000428854518736E0	6.185736578670072E-4	1.000428854518736E0	1.000762964482006E0	1.000333966740125E0	0.00107930455938507E0	7.54968874083763E-4
GAB2	GAB2	6.530068774268626E-6	2.096222649438616E-5	0.9978934448601352E0	-0.00304232218959577E0	-1.002111002082151E0	1.068430886424622E0	1.070686346250499E0	0.0618131783831138E0	0.07465063332026324E0
LOC714466	.	6.527651100762828E-6	2.095779636515778E-5	0.9981544697427672E0	-0.00266499727358203E0	-1.001848942536628E0	1.031521004166192E0	1.03342822722822E0	0.03984565002740041E0	0.05185206266120046E0
TNK1	TNK1	6.514890215192369E-6	2.092015144140787E-5	0.9929658506080818E0	-0.0101839924464432E0	-1.007083979159616E0	1.028681656354028E0	1.035968815769519E0	0.0330902039774199E0	0.04888348170865032E0
BCL7C	BCL7C	6.510212161470198E-6	2.09084536869733E-5	0.9980336877004877E0	-0.002839581671338306E0	-1.001970186301068E0	1.03523774237583E0	1.037277353594208E0	0.03644342669955222E0	0.04585911395868811E0
WDR46	WDR46	6.469532594310941E-6	2.078110994591164E-5	1.003371060138001E0	0.004855232693126704E0	1.003371060138001E0	1.069920480056853E0	1.066325831551988E0	0.07726370774981112E0	0.083334609690282E0
KAT8	KAT8	6.414215081185226E-6	2.060669893586435E-5	0.9976681461567235E0	-0.003368082441722258E0	-1.002337304094813E0	1.047274236336244E0	1.049722034697225E0	0.05373030205286411E0	0.06476413420858422E0
THAP5	THAP5	6.402805350358416E-6	2.057331569623597E-5	1.007583993288489E0	0.01090010838095578E0	1.007583993288489E0	1.079740902189914E0	1.0716137903957E0	0.08813012483938326E0	0.0898584177750508E0
RETN	RETN	6.400990565924553E-6	2.057075695314942E-5	1.000712965578862E0	0.001028225403829391E0	1.000712965578862E0	1.001116630947831E0	1.0004033777745E0	0.001306222935014251E0	5.289360609375289E-4
MDH1	MDH1	6.399560778969083E-6	2.056943485258077E-5	0.9909279659427687E0	-0.0131479082670447E0	-1.009155089339516E0	1.123831752401726E0	1.134120532497549E0	0.1274487571020329E0	0.1495339728432668E0
LOC114673164	.	6.398448457289877E-6	2.056913288880167E-5	0.9915293543764867E0	-0.01227261059612453E0	-1.008543010437487E0	1.035252044785983E0	1.04409621381002E0	0.04152900423887028E0	0.05848517215293028E0
CEP19	CEP19	6.376908041505501E-6	2.050315005130979E-5	1.007304350488321E0	0.01049965017704626E0	1.007304350488321E0	1.051810240662534E0	1.044183160881453E0	0.05366071078670229E0	0.05375263519545754E0
KIF9	KIF9	6.374353902827163E-6	2.049820094400622E-5	0.9916321900230635E0	-0.01212299043240681E0	-1.008438421081048E0	1.037812982715911E0	1.046570485667447E0	0.04059142334291688E0	0.05624453620098662E0
KYAT3	KYAT3	6.360407125316494E-6	2.045660877661506E-5	0.9921727516114697E0	-0.0113367583530093E0	-1.007888997531748E0	1.102056234091606E0	1.110750353002202E0	0.1007938921724375E0	0.1206786902322897E0
LOC106996217	.	6.332154242727477E-6	2.036898413674304E-5	0.9997517608839179E0	-3.581778004361057E-4	-1.000248300754042E0	0.9999972031324929E0	1.00024550319207E0	2.247319889007261E-4	8.254075211418385E-4
PIGL	PIGL	6.329439029006961E-6	2.036549409930194E-5	0.9940934045614813E0	-0.008546681765071354E0	-1.00594169060112E0	1.143611923238856E0	1.150406911454493E0	0.13575952288885E0	0.1555613179486786E0
ETHE1	ETHE1	6.330060993930962E-6	2.036549409930194E-5	0.9943963127602574E0	-0.008107148026684559E0	-1.005635265505146E0	1.061184385132051E0	1.067164440892186E0	0.06431800986834664E0	0.07960208667857746E0
FIBP	FIBP	6.313130035406912E-6	2.031749529240739E-5	1.004800174237361E0	0.006908619512713435E0	1.004800174237361E0	1.019883735584296E0	1.015011503514501E0	0.02582976426410433E0	0.02540359135248972E0
GRPEL1	GRPEL1	6.309278811955629E-6	2.030833680380555E-5	0.9990532848190933E0	-0.001366468226844386E0	-1.000947612299857E0	1.082756291125206E0	1.083782324304423E0	0.09017925779004861E0	0.1020824389377553E0
HMGCS1	HMGCS1	6.289190749630964E-6	2.024690385097963E-5	0.9953563307062357E0	-0.006715001880432035E0	-1.004665333559962E0	1.070828644053298E0	1.075824416863368E0	0.07857827192912088E0	0.0933760410404353E0
ZBTB25	ZBTB25	6.261667344076282E-6	2.016151076289698E-5	0.9912779586701929E0	-0.0126384427557377E0	-1.008798784693556E0	1.089051909664871E0	1.098634242938119E0	0.09467315411817236E0	0.1143364006954979E0
ZNF23	ZNF23	6.251692318492991E-6	2.013260227183059E-5	0.9867769607369314E0	-0.01920406289200914E0	-1.013400231044302E0	1.040478094486288E0	1.054420741348939E0	0.04525979874477131E0	0.06676951361634134E0
OARD1	OARD1	6.223778494463003E-6	2.004590624001973E-5	0.994429281275527E0	-0.008059317273066064E0	-1.005601925475613E0	1.064409391605197E0	1.070372133692512E0	0.07236052861865519E0	0.08791208795876576E0
LAMTOR3	LAMTOR3	6.221834471187294E-6	2.00428409328614E-5	1.003224412173995E0	0.004644359805468724E0	1.003224412173995E0	1.131446421346361E0	1.127809897383286E0	0.1383254557441689E0	0.147928904561425E0
WBP1	WBP1	6.123108960309748E-6	1.972795577928478E-5	1.00281621821345E0	0.004057233700636344E0	1.00281621821345E0	1.055215343890489E0	1.052251972719777E0	0.06390268683937753E0	0.06994104568636902E0
PUS7L	PUS7L	6.119695421746833E-6	1.972010340275088E-5	0.9885446829086199E0	-0.01662191663773312E0	-1.011588062016251E0	1.089730352609839E0	1.102358215516873E0	0.08721326829230866E0	0.109314792336348E0
PPIA	PPIA	6.115389891037092E-6	1.970965118375995E-5	0.9978161419942775E0	-0.003154086408207352E0	-1.002188637679641E0	1.163286297759124E0	1.165832309982609E0	0.1704413502125484E0	0.1867309963754901E0
NEDD1	NEDD1	6.115475986168116E-6	1.970965118375995E-5	0.9945378967901518E0	-0.007901748997232581E0	-1.005492101635822E0	1.159309702906887E0	1.165676749622646E0	0.1516663654764164E0	0.1709460253076917E0
MANEA	MANEA	6.109394570241722E-6	1.969633703587267E-5	1.001994004890826E0	0.002873876656725037E0	1.001994004890826E0	1.072902069593169E0	1.070766955047868E0	0.08124176783651195E0	0.08989304083836903E0
RIC8B	RIC8B	6.086760111601051E-6	1.962649756291795E-5	1.00672366330085E0	0.009667730716988473E0	1.00672366330085E0	1.391094333836211E0	1.381803552004614E0	0.2872267042902132E0	0.3012462937274853E0
C7H15orf39	C7H15orf39	6.053723623278276E-6	1.952308953264803E-5	0.989596287590834E0	-0.01508800674399692E0	-1.010513087548554E0	1.051918789791936E0	1.062977704122987E0	0.06299468283448999E0	0.08397540803449378E0
LDAH	LDAH	6.051848667865108E-6	1.952015959654096E-5	0.9835937850552555E0	-0.02386547575073322E0	-1.016679868451815E0	1.227911794418373E0	1.248393201619703E0	0.1851462177378977E0	0.214217059618346E0
ZNF709	.	6.050658674539029E-6	1.951943841372613E-5	0.9919270262870622E0	-0.01169410601536473E0	-1.00813867703873E0	1.021784940664316E0	1.030100918299421E0	0.02338071106009289E0	0.03827909488211424E0
LOC700997	.	6.037025638061517E-6	1.947856930312564E-5	1.002031138644476E0	0.002927341736661498E0	1.002031138644476E0	1.05125672321332E0	1.049125803251419E0	0.05565925738325951E0	0.06204606889850524E0
URB2	URB2	6.011806966910188E-6	1.940029990695829E-5	0.9978091892076723E0	-0.003164139147665939E0	-1.002195620982472E0	1.071030896922805E0	1.073382474832965E0	0.07438598967311719E0	0.08739187547029648E0
BRSK2	BRSK2	6.000011217199846E-6	1.936532862975431E-5	1.001154421785944E0	0.001664517992509691E0	1.001154421785944E0	1.003044346147057E0	1.001887745107035E0	0.00361785357844982E0	0.003701594631027684E0
ZNF205	ZNF205	5.976608231428333E-6	1.92928772668035E-5	0.9998896836717887E0	-1.59161598862599E-4	-1.000110328499246E0	1.000100522825601E0	1.00021086241538E0	2.083060786608341E-4	5.801793795895288E-4
ZNF251	ZNF251	5.973336355546979E-6	1.928724668241387E-5	0.9809801831037182E0	-0.02770410220101552E0	-1.019388584217986E0	1.105408597582686E0	1.126840905272204E0	0.1031650832088551E0	0.1318261410948495E0
LOC106994967	.	5.973909062539915E-6	1.928724668241387E-5	0.9971595320715669E0	-0.004103760056676694E0	-1.002848559169396E0	1.008047844593204E0	1.01091932852411E0	0.00961797529617143E0	0.01746720941116341E0
SOCS1	SOCS1	5.964187690721259E-6	1.926201838458394E-5	1.021818856027689E0	0.03113946371836194E0	1.021818856027689E0	1.091279977476648E0	1.067977920978077E0	0.09993152968411709E0	0.08661473073776446E0
ATP6V1D	ATP6V1D	5.954910066607878E-6	1.923513090122276E-5	1.008078334618191E0	0.01160775051852258E0	1.008078334618191E0	1.049226949006724E0	1.040818865930808E0	0.0531935298297839E0	0.0524583105569509E0
LOC713553	.	5.928946260280733E-6	1.915432766557105E-5	0.9942882921257584E0	-0.008263875577625273E0	-1.005744518888008E0	1.078346279932808E0	1.084540860505695E0	0.08623706310927041E0	0.1032676930924043E0
SCNN1A	SCNN1A	5.922109399536521E-6	1.91353008561572E-5	0.9999103344660532E0	-1.293658210781669E-4	-1.000089673574576E0	1.046899638486075E0	1.04699351771888E0	0.0522190455254494E0	0.06003910569890905E0
FAM111A	FAM111A	5.920651797497441E-6	1.913365200093653E-5	0.9988082678068968E0	-0.001720331415949622E0	-1.001193154113271E0	1.11680539338682E0	1.118137914335663E0	0.1206295930148192E0	0.1349348731583434E0
LOC114670419	.	5.911640434175254E-6	1.910758737229505E-5	1.002812718254718E0	0.004052198498945656E0	1.002812718254718E0	1.01293326816169E0	1.010092163494482E0	0.0137687584725397E0	0.01489493376200881E0
DNPEP	DNPEP	5.889467360131742E-6	1.903896634762179E-5	0.9933844973392202E0	-0.009575862493472078E0	-1.006659558991004E0	1.057809517780347E0	1.064854062665251E0	0.06291596899418885E0	0.07810828845651722E0
PSMD5	PSMD5	5.86441087813138E-6	1.896100062694055E-5	1.000036309444691E0	5.238250480956912E-5	1.000036309444691E0	1.083677027668508E0	1.08363768138605E0	0.09032156617588209E0	0.1012957149457076E0
LOC114675655	.	5.808936690110408E-6	1.878464669658182E-5	1.000154368596131E0	2.226896204078829E-4	1.000154368596131E0	1.000397426849492E0	1.000243020738591E0	4.736649105411991E-4	8.496899629174528E-4
BAX	BAX	5.797811560737129E-6	1.875167300300537E-5	0.9993532968988429E0	-9.332971725926483E-4	-1.000647121596701E0	1.046291016764119E0	1.046968094277501E0	0.05452829649893742E0	0.06344228022762154E0
ADAMTS13	ADAMTS13	5.789761436059156E-6	1.872863572798252E-5	0.9953081449737031E0	-0.006784845209862276E0	-1.004713972300931E0	1.011771513102458E0	1.016540975990094E0	0.01326942684636719E0	0.0240835375719707E0
APOOL	APOOL	5.761610843868523E-6	1.864055995906718E-5	0.9917945984659301E0	-0.01188672675279366E0	-1.008273287177367E0	1.221912949079456E0	1.232022185812933E0	0.1954172158253951E0	0.2190754210211847E0
RALGPS1	RALGPS1	5.711788547246843E-6	1.84823301950163E-5	0.9711226138087674E0	-0.04227463326343444E0	-1.029736086649218E0	1.222965950389286E0	1.259332171859105E0	0.1891489539191695E0	0.2260071350873628E0
PDE3B	PDE3B	5.696906625440874E-6	1.843712866858753E-5	0.9012856306857175E0	-0.1499437050859257E0	-1.109526176778363E0	3.035231337397546E0	3.367668621420578E0	0.6293195471980689E0	0.6754889838477954E0
UPF3A	UPF3A	5.68777638132457E-6	1.841053002403745E-5	0.9963047772399168E0	-0.005340953646358186E0	-1.003708928075523E0	1.095008307825675E0	1.099069614881501E0	0.09779671275499703E0	0.113478580996153E0
LOC114675697	.	5.681036855831329E-6	1.839166251227459E-5	0.998095941999743E0	-0.002749593558840537E0	-1.001907690353336E0	1.009045538309801E0	1.010970484749312E0	0.01053439456986011E0	0.0171839265106333E0
HPSE	HPSE	5.668101796585402E-6	1.835272845261814E-5	0.9815837140373264E0	-0.02681678218697099E0	-1.018761808798687E0	1.137647469667921E0	1.158991793974141E0	0.1340745988763354E0	0.162835933952972E0
LOC106997043	.	5.656182334945468E-6	1.831707083553448E-5	0.9998991147795092E0	-1.455539495456532E-4	-1.000100895399345E0	1.000466958444131E0	1.000567900957435E0	9.641119314042893E-4	4.85622866197904E-4
PDHX	PDHX	5.64625999077693E-6	1.828787031650295E-5	1.000884375522786E0	0.00127532033304834E0	1.000884375522786E0	1.119340650394025E0	1.118351607606389E0	0.1135342524206498E0	0.1255944360493071E0
UTP23	UTP23	5.639795566891882E-6	1.826986220690974E-5	1.005244135705144E0	0.007545919909688868E0	1.005244135705144E0	1.053843318426456E0	1.048345651563758E0	0.05817879577943417E0	0.06174563445795383E0
LOC697857	.	5.625367221262481E-6	1.822604541787931E-5	1.002315490126083E0	0.003336684581104997E0	1.002315490126083E0	1.053715739552014E0	1.051281507601428E0	0.06184788823311771E0	0.06918989982870126E0
LOC114675972	.	5.615642562628584E-6	1.819745683939871E-5	1.000849396967576E0	0.001224900653031918E0	1.000849396967576E0	1.022989069723255E0	1.022120883344446E0	0.03021927194965836E0	0.03695163667676397E0
PHF23	PHF23	5.611124352378203E-6	1.818573325887917E-5	0.9969668773281947E0	-0.004382520763542124E0	-1.003042350494064E0	1.044731713752994E0	1.047910153798495E0	0.05150885060258684E0	0.06334717208941101E0
PHYKPL	PHYKPL	5.60295503437835E-6	1.816217072450231E-5	0.9925760071890071E0	-0.01075051303873483E0	-1.007479520719041E0	1.113890035396599E0	1.122221398995081E0	0.1175829150793562E0	0.1375236169986261E0
ACOX3	ACOX3	5.547792819249321E-6	1.798624708879579E-5	0.9865731369084292E0	-0.0195020897124824E0	-1.01360959729113E0	1.080354715019425E0	1.095057907622413E0	0.0840158323477498E0	0.1071925762807373E0
NDRG4	NDRG4	5.539381548902443E-6	1.796186041495128E-5	1.000029237575744E0	4.218028891118594E-5	1.000029237575744E0	1.00030207374055E0	1.000272828187972E0	0.001225557309281979E0	3.696046073861153E-4
RTN4IP1	RTN4IP1	5.534653636507511E-6	1.794941139212889E-5	1.00232006758038E0	0.003343273180801409E0	1.00232006758038E0	1.054109242755573E0	1.051669298909891E0	0.05456135723317213E0	0.06108950419802817E0
LOC106995249	.	5.521523635199092E-6	1.790970521659728E-5	0.9988395731303416E0	-0.001675114202018986E0	-1.001161775024614E0	1.000747189829071E0	1.001909832920167E0	0.001259223780126455E0	0.002191894363058132E0
CCDC84	.	5.481942092711033E-6	1.778417384975545E-5	1.003067259602068E0	0.004418347566235278E0	1.003067259602068E0	1.083928457058731E0	1.080613933594784E0	0.09135443357276557E0	0.09920623945951582E0
LOC114669832	.	5.470794341655422E-6	1.775086009843474E-5	1.008074167695308E0	0.01160178708175599E0	1.008074167695308E0	1.067418584159417E0	1.058869097498832E0	0.07578131909109177E0	0.0762166748071374E0
LOC100426567	.	5.468680321807363E-6	1.774685172555673E-5	0.9942177075046568E0	-0.008366296272245334E0	-1.005815921856648E0	1.059261977101904E0	1.065422561986447E0	0.06291261994468578E0	0.07897128758211897E0
SYK	SYK	5.460608648810704E-6	1.772350530108928E-5	0.9745390448241654E0	-0.03720810679182462E0	-1.0261261519598E0	1.0548661603212E0	1.082425753923003E0	0.05150071952420888E0	0.07781371348940314E0
PSMF1	PSMF1	5.452387738302796E-6	1.769966691389262E-5	0.9967328449282411E0	-0.00472122511365262E0	-1.003277864362937E0	1.218093951530781E0	1.222086698285213E0	0.1948265777203111E0	0.2139851244966531E0
ILF2	ILF2	5.443032607410641E-6	1.767386809695676E-5	1.003335183415585E0	0.004803646498401502E0	1.003335183415585E0	1.10526155703917E0	1.101587560476654E0	0.1129258681778632E0	0.1211344139748475E0
TXNDC15	TXNDC15	5.443565374352312E-6	1.767386809695676E-5	0.9835653200048169E0	-0.02390722772392512E0	-1.016709291859846E0	1.141839634257523E0	1.160918965963472E0	0.1510602245900528E0	0.1798013788169269E0
